Date,IsHoliday,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment
1/10/2010,FALSE,1933719.21,16.15555556,2.707,9273.46,419.3,59.025,2535.66,4567.03,204.8850973,7.484
2/4/2010,FALSE,2405395.22,10.55555556,2.85,9273.46,419.3,59.025,2535.66,4567.03,204.0252842,7.856
2/7/2010,FALSE,2143676.77,21.16666667,2.815,9273.46,419.3,59.025,2535.66,4567.03,204.4650559,7.527
2/19/2010,FALSE,2161549.76,-3.65,2.745,9273.46,419.3,59.025,2535.66,4567.03,204.4321004,8.187
2/26/2010,FALSE,1898193.95,0.177777778,2.754,9273.46,419.3,59.025,2535.66,4567.03,204.4630869,8.187
3/9/2010,FALSE,2121561.41,24.16666667,2.715,9273.46,419.3,59.025,2535.66,4567.03,204.7583566,7.527
3/12/2010,FALSE,2416051.17,1.927777778,3.046,9273.46,419.3,59.025,2535.66,4567.03,204.8249189,7.484
3/19/2010,FALSE,1951848.43,8.511111111,2.844,9273.46,419.3,59.025,2535.66,4567.03,204.3782258,8.187
3/26/2010,FALSE,1894742.95,10.27222222,2.854,9273.46,419.3,59.025,2535.66,4567.03,204.201755,8.187
4/6/2010,FALSE,2203619.35,22.51111111,2.847,9273.46,419.3,59.025,2535.66,4567.03,204.4042877,7.856
4/16/2010,FALSE,1985784.59,13.01666667,2.899,9273.46,419.3,59.025,2535.66,4567.03,203.7307486,7.856
4/23/2010,FALSE,1878862.42,10.36111111,2.902,9273.46,419.3,59.025,2535.66,4567.03,203.6905586,7.856
4/30/2010,FALSE,1919053.21,12.63888889,2.921,9273.46,419.3,59.025,2535.66,4567.03,203.6503685,7.856
5/2/2010,FALSE,2401395.47,-3.377777778,2.784,9273.46,419.3,59.025,2535.66,4567.03,204.2471935,8.187
5/3/2010,FALSE,2119213.72,-0.138888889,2.777,9273.46,419.3,59.025,2535.66,4567.03,204.4940734,8.187
5/11/2010,FALSE,2184316.64,5.988888889,2.917,9273.46,419.3,59.025,2535.66,4567.03,205.160837,7.484
5/14/2010,FALSE,2033211.62,13.28333333,2.982,9273.46,419.3,59.025,2535.66,4567.03,203.6133915,7.856
5/21/2010,FALSE,1893736.9,15.76666667,2.958,9273.46,419.3,59.025,2535.66,4567.03,203.8770235,7.856
5/28/2010,FALSE,2065984.95,21.65,2.899,9273.46,419.3,59.025,2535.66,4567.03,204.1406556,7.856
6/8/2010,FALSE,1910177.38,23.65,2.784,9273.46,419.3,59.025,2535.66,4567.03,204.7293252,7.527
6/18/2010,FALSE,2091903.63,22.56666667,2.78,9273.46,419.3,59.025,2535.66,4567.03,204.670036,7.856
6/25/2010,FALSE,1973135.87,23.98333333,2.808,9273.46,419.3,59.025,2535.66,4567.03,204.5675459,7.856
7/5/2010,FALSE,2137202.38,19.3,2.966,9273.46,419.3,59.025,2535.66,4567.03,203.6101784,7.856
7/16/2010,FALSE,2031852.16,23.96666667,2.783,9273.46,419.3,59.025,2535.66,4567.03,204.3571656,7.527
7/23/2010,FALSE,1900535.9,25.41666667,2.771,9273.46,419.3,59.025,2535.66,4567.03,204.4812188,7.527
7/30/2010,FALSE,1955896.59,24.46111111,2.781,9273.46,419.3,59.025,2535.66,4567.03,204.605272,7.527
8/10/2010,FALSE,2060389.27,10.83333333,2.764,9273.46,419.3,59.025,2535.66,4567.03,204.951982,7.484
8/13/2010,FALSE,2071022.45,24.43333333,2.805,9273.46,419.3,59.025,2535.66,4567.03,204.8533784,7.527
8/20/2010,FALSE,1975374.56,24.07777778,2.779,9273.46,419.3,59.025,2535.66,4567.03,204.8217044,7.527
8/27/2010,FALSE,1946369.57,21.39444444,2.755,9273.46,419.3,59.025,2535.66,4567.03,204.7900305,7.527
9/4/2010,FALSE,2007796.26,18.38888889,2.869,9273.46,419.3,59.025,2535.66,4567.03,203.8488134,7.856
9/7/2010,FALSE,2107285.85,25.60555556,2.793,9273.46,419.3,59.025,2535.66,4567.03,204.3625658,7.527
9/17/2010,FALSE,1948359.78,18.48888889,2.706,9273.46,419.3,59.025,2535.66,4567.03,204.7513279,7.527
9/24/2010,FALSE,1789687.65,20.76111111,2.713,9273.46,419.3,59.025,2535.66,4567.03,204.8182126,7.527
10/9/2010,TRUE,2014954.79,18.34444444,2.699,9273.46,419.3,59.025,2535.66,4567.03,204.7266827,7.527
10/12/2010,FALSE,2752122.08,-4.294444444,3.109,9273.46,419.3,59.025,2535.66,4567.03,204.6877378,7.484
10/15/2010,FALSE,1950676.39,15.09444444,2.868,9273.46,419.3,59.025,2535.66,4567.03,205.0137637,7.484
10/22/2010,FALSE,1893955.27,10.28888889,2.917,9273.46,419.3,59.025,2535.66,4567.03,205.0627881,7.484
10/29/2010,FALSE,1891816,14.2,2.921,9273.46,419.3,59.025,2535.66,4567.03,205.1118126,7.484
11/6/2010,FALSE,2100489.79,19.62222222,2.809,9273.46,419.3,59.025,2535.66,4567.03,204.6679198,7.856
11/19/2010,FALSE,2105058.91,7.711111111,3,9273.46,419.3,59.025,2535.66,4567.03,205.0992811,7.484
11/26/2010,TRUE,2811634.04,8.144444444,3.039,9273.46,419.3,59.025,2535.66,4567.03,204.9621,7.484
12/2/2010,TRUE,2109107.9,-5.488888889,2.773,9273.46,419.3,59.025,2535.66,4567.03,204.3857472,8.187
12/3/2010,FALSE,2010974.84,6.566666667,2.818,9273.46,419.3,59.025,2535.66,4567.03,204.5250598,8.187
12/11/2010,FALSE,2187765.28,5.766666667,2.931,9273.46,419.3,59.025,2535.66,4567.03,205.2098614,7.484
12/17/2010,FALSE,2819193.17,-4.405555556,3.14,9273.46,419.3,59.025,2535.66,4567.03,204.6321194,7.484
12/24/2010,FALSE,3766687.43,-3.794444444,3.141,9273.46,419.3,59.025,2535.66,4567.03,204.6376731,7.484
12/31/2010,TRUE,1799737.79,-1.75,3.179,9273.46,419.3,59.025,2535.66,4567.03,204.6432267,7.484
1/4/2011,FALSE,1927993.09,0.238888889,3.638,9273.46,419.3,59.025,2535.66,4567.03,207.8823043,7.287
1/7/2011,FALSE,2053165.41,20.92222222,3.748,9273.46,419.3,59.025,2535.66,4567.03,208.3346432,7.274
1/14/2011,FALSE,1884345.01,-6.45,3.205,9273.46,419.3,59.025,2535.66,4567.03,204.7026042,7.343
1/21/2011,FALSE,1781805.66,-2.538888889,3.229,9273.46,419.3,59.025,2535.66,4567.03,205.0460497,7.343
1/28/2011,FALSE,1761506.68,-4.883333333,3.237,9273.46,419.3,59.025,2535.66,4567.03,205.3894952,7.343
2/9/2011,FALSE,2141765.98,21.56666667,3.703,9273.46,419.3,59.025,2535.66,4567.03,208.9625161,7.274
2/12/2011,FALSE,2298776.83,7.955555556,3.452,10007.34,60,25959.98,6140.65,35675.62,211.6394306,7.082
2/18/2011,FALSE,2258616.24,6.083333333,3.245,9273.46,419.3,59.025,2535.66,4567.03,206.3694701,7.343
2/25/2011,FALSE,1938608.52,0.666666667,3.274,9273.46,419.3,59.025,2535.66,4567.03,206.6424093,7.343
